Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Random Date
JEEP,CHEROKEE 4X4 ACTIVE DRIVE LOCK,SUV - SMALL,2.4,4,A9,X,12.1,9.4,10.9,26,256,2000-11-12
JEEP,CHEROKEE 4X4 ACTIVE DRIVE LOCK,SUV - SMALL,3.2,6,A9,X,12.9,9.9,11.6,24,269,2005-01-20
JEEP,COMPASS,SUV - SMALL,2.0,4,AV,X,10.8,9.0,10.0,28,235,2009-10-30
JEEP,COMPASS,SUV - SMALL,2.0,4,M5,X,10.3,7.9,9.3,30,216,2009-09-27
JEEP,COMPASS,SUV - SMALL,2.4,4,A6,X,11.3,8.7,10.1,28,238,2002-07-19
JEEP,COMPASS,SUV - SMALL,2.4,4,M5,X,10.2,8.3,9.3,30,219,2003-07-03
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,A6,X,11.7,9.2,10.6,27,249,2012-02-05
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,259,2000-12-31
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,M5,X,10.6,8.7,9.8,29,230,2006-06-01
JEEP,GRAND CHEROKEE 4X4,SUV - STANDARD,3.6,6,A8,X,12.7,9.6,11.3,25,265,2009-11-24
JEEP,GRAND CHEROKEE 4X4,SUV - STANDARD,5.7,8,A8,X,16.6,10.7,14.0,20,328,2013-03-16
JEEP,GRAND CHEROKEE SRT8,SUV - STANDARD,6.4,8,A8,Z,18.3,12.6,15.7,18,368,2002-03-14
JEEP,NEW COMPASS,SUV - SMALL,2.4,4,A6,X,10.6,7.6,9.3,30,218,2008-05-12
JEEP,NEW COMPASS,SUV - SMALL,2.4,4,M6,X,10.4,7.3,9.0,31,211,2016-02-01
JEEP,NEW COMPASS 4X4,SUV - SMALL,2.4,4,A9,X,10.8,7.8,9.5,30,222,2021-09-29
JEEP,NEW COMPASS 4X4,SUV - SMALL,2.4,4,M6,X,10.8,7.6,9.4,30,221,2000-03-26
JEEP,PATRIOT,SUV - SMALL,2.0,4,AV,X,10.8,9.0,10.0,28,235,2018-07-16
JEEP,PATRIOT,SUV - SMALL,2.0,4,M5,X,10.3,7.9,9.3,30,216,2007-03-08
JEEP,PATRIOT,SUV - SMALL,2.4,4,A6,X,11.3,8.7,10.1,28,238,2003-04-27
JEEP,PATRIOT,SUV - SMALL,2.4,4,M5,X,10.2,8.3,9.3,30,219,2003-06-08
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,A6,X,11.7,9.2,10.6,27,249,2018-01-08
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,259,2000-05-27
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,M5,X,10.6,8.7,9.8,29,230,2001-07-15
JEEP,RENEGADE,SUV - SMALL,1.4,4,M6,X,9.9,7.7,8.9,32,209,2003-01-01
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4,A9,X,10.8,7.8,9.5,30,222,2000-09-05
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4,A9,E,14.4,10.2,12.5,23,206,2019-11-10
JEEP,RENEGADE 4X4,SUV - SMALL,1.4,4,M6,X,9.9,7.7,8.9,32,211,2005-03-31
JEEP,RENEGADE 4X4,SUV - SMALL,2.4,4,A9,X,11.2,8.2,9.8,29,230,2000-06-21
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,A5,X,14.1,11.1,12.8,22,299,2019-08-08
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,M6,X,14.2,11.0,12.8,22,298,2003-04-23
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,A5,X,14.7,11.7,13.4,21,313,2012-04-05
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,M6,X,15.0,11.4,13.3,21,312,2000-12-21
KIA,CADENZA,FULL-SIZE,3.3,6,AS8,X,11.5,8.5,10.2,28,237,2015-02-07
KIA,FORTE (MPI),MID-SIZE,2.0,4,AS6,X,7.9,6.3,7.2,39,170,2012-08-22
KIA,FORTE (GDI),MID-SIZE,2.0,4,AS6,X,9.4,7.0,8.3,34,198,2014-11-25
KIA,FORTE,MID-SIZE,2.0,4,M6,X,9.4,6.8,8.3,34,195,2021-08-30
KIA,FORTE 5,FULL-SIZE,1.6,4,AM7,X,9.4,7.9,8.7,32,207,2002-05-06
KIA,FORTE 5,FULL-SIZE,2.0,4,AS6,X,9.7,7.0,8.3,34,197,2008-08-28
KIA,FORTE 5,FULL-SIZE,2.0,4,M6,X,9.8,7.3,8.7,32,204,2000-06-20
KIA,FORTE KOUP,COMPACT,1.6,4,AM7,X,9.6,7.4,8.6,33,204,2008-04-16
KIA,FORTE KOUP,COMPACT,1.6,4,M6,X,10.1,8.0,9.2,31,216,2000-03-09
KIA,FORTE KOUP,COMPACT,2.0,4,AS6,X,9.6,7.3,8.6,33,203,2019-06-09
KIA,FORTE KOUP,COMPACT,2.0,4,M6,X,9.9,7.6,8.8,32,209,2001-05-03
KIA,K900,FULL-SIZE,3.8,6,AS8,X,13.8,9.3,11.8,24,279,2000-01-19
KIA,K900,FULL-SIZE,5.0,8,AS8,Z,15.6,10.6,13.3,21,317,2005-09-23
KIA,NIRO,STATION WAGON - SMALL,1.6,4,AM6,X,4.6,5.1,4.8,59,114,2019-09-08
KIA,NIRO FE,STATION WAGON - SMALL,1.6,4,AM6,X,4.5,4.8,4.7,60,110,2018-01-30
KIA,NIRO TOURING,STATION WAGON - SMALL,1.6,4,AM6,X,5.1,5.8,5.4,52,129,2002-12-21
KIA,OPTIMA,FULL-SIZE,2.4,4,AS6,X,9.6,6.8,8.4,34,198,2000-05-13
KIA,OPTIMA FE,FULL-SIZE,2.4,4,AS6,X,9.3,6.6,8.0,35,190,2004-09-30
KIA,OPTIMA TURBO,FULL-SIZE,2.0,4,AS6,X,10.9,7.6,9.4,30,224,2014-03-22
KIA,OPTIMA HYBRID,MID-SIZE,2.0,4,AS6,X,6.0,5.1,5.6,50,132,2016-04-04
KIA,RIO,COMPACT,1.6,4,AS6,X,8.8,6.5,7.8,36,181,2017-05-21
KIA,RIO,COMPACT,1.6,4,M6,X,8.8,6.6,7.8,36,181,2019-08-23
KIA,RONDO,STATION WAGON - MID-SIZE,2.0,4,AS6,X,9.9,7.6,8.9,32,210,2020-04-23
KIA,SEDONA,MINIVAN,3.3,6,AS6,X,13.2,9.7,11.6,24,275,2015-01-04
KIA,SEDONA SX,MINIVAN,3.3,6,AS6,X,12.9,9.5,11.4,25,269,2018-03-21
KIA,SEDONA SXL,MINIVAN,3.3,6,AS6,X,14.1,10.5,12.5,23,296,2018-09-08
KIA,SORENTO,SUV - SMALL,2.4,4,AS6,X,11.2,8.3,9.9,29,234,2000-07-08
KIA,SORENTO AWD,SUV - SMALL,2.0,4,AS6,X,12.3,9.4,11.0,26,259,2008-12-17
KIA,SORENTO AWD,SUV - SMALL,2.4,4,AS6,X,11.5,9.3,10.5,27,246,2015-05-31
KIA,SORENTO AWD,SUV - SMALL,3.3,6,AS6,X,14.0,10.1,12.2,23,289,2019-07-21
KIA,SORENTO AWD FE,SUV - SMALL,3.3,6,AS6,X,13.2,9.3,11.4,25,270,2010-07-18
KIA,SOUL,STATION WAGON - SMALL,1.6,4,AS6,X,9.4,7.8,8.7,32,205,2005-03-20
KIA,SOUL,STATION WAGON - SMALL,1.6,4,M6,X,9.7,7.8,8.8,32,208,2009-10-31
KIA,SOUL,STATION WAGON - SMALL,2.0,4,AS6,X,9.5,7.8,8.7,32,206,2004-04-24
KIA,SOUL TURBO,STATION WAGON - SMALL,1.6,4,AM7,X,9.1,7.7,8.5,33,199,2011-04-25
KIA,SPORTAGE,SUV - SMALL,2.4,4,AS6,X,10.4,8.0,9.3,30,220,2020-03-07
KIA,SPORTAGE AWD,SUV - SMALL,2.0,4,AS6,X,11.9,10.2,11.1,25,263,2014-02-05
KIA,SPORTAGE AWD,SUV - SMALL,2.4,4,AS6,X,11.3,9.5,10.5,27,247,2013-01-02
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,AM7,Z,22.2,12.7,17.9,16,428,2020-11-17
LAMBORGHINI,AVENTADOR COUPE LP 740,TWO-SEATER,6.5,12,AM7,Z,23.9,14.5,19.7,14,461,2005-11-04
LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12,AM7,Z,23.0,13.5,18.7,15,438,2000-06-09
LAMBORGHINI,AVENTADOR ROADSTER LP 740,TWO-SEATER,6.5,12,AM7,Z,23.9,14.5,19.7,14,461,2003-07-05
LAMBORGHINI,HURACAN,TWO-SEATER,5.2,10,AM7,Z,16.4,11.4,14.2,20,331,2008-12-16
LAMBORGHINI,HURACAN SPYDER,TWO-SEATER,5.2,10,AM7,Z,16.9,11.8,14.6,19,340,2004-01-07
LAND ROVER,DISCOVERY SPORT,SUV - SMALL,2.0,4,AS9,Z,12.0,9.2,10.7,26,252,2017-09-06
LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2.0,4,AS9,Z,11.3,8.0,9.8,29,231,2003-07-24
LAND ROVER,RANGE ROVER EVOQUE CONVERTIBLE,SUV - SMALL,2.0,4,AS9,Z,12.0,8.5,10.4,27,243,2002-03-22
LEXUS,CT 200h,COMPACT,1.8,4,AV,X,5.5,5.9,5.7,50,132,2001-04-30
LEXUS,ES 300h,MID-SIZE,2.5,4,AV6,X,5.8,6.1,5.9,48,139,2014-08-11
LEXUS,ES 350,MID-SIZE,3.5,6,AS6,X,11.4,7.7,9.7,29,226,2019-01-26
LEXUS,GS 350 AWD,MID-SIZE,3.5,6,AS6,Z,12.4,9.2,11.0,26,257,2015-11-09
LEXUS,GS 450h,MID-SIZE,3.5,6,AV8,Z,8.0,6.9,7.5,38,176,2001-11-07
LEXUS,GS F,COMPACT,5.0,8,AS8,Z,14.9,9.7,12.5,23,293,2011-07-08
LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,16.0,12.9,14.6,19,341,2018-12-06
LEXUS,IS 200t,COMPACT,2.0,4,AS8,Z,10.6,7.3,9.1,31,214,2014-11-21
LEXUS,IS 300 AWD,COMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258,2015-10-07
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258,2013-12-21
LEXUS,LS 460 AWD,MID-SIZE,4.6,8,AS8,Z,15.1,10.3,12.9,22,303,2000-06-20
LEXUS,LS 460 L AWD,MID-SIZE,4.6,8,AS8,Z,15.1,10.3,12.9,22,303,2010-05-24
LEXUS,LX 570,SUV - STANDARD,5.7,8,AS8,Z,18.2,13.0,15.8,18,372,2011-12-13
LEXUS,NX 200t AWD,SUV - SMALL,2.0,4,AS6,Z,10.7,8.5,9.7,29,226,2016-04-27
LEXUS,NX 200t AWD F SPORT,SUV - SMALL,2.0,4,AS6,Z,10.8,8.9,9.9,29,232,2003-07-14
LEXUS,NX 300h AWD,SUV - SMALL,2.5,4,AV6,X,7.2,7.9,7.5,38,176,2011-12-04
LEXUS,RC 300 AWD,SUBCOMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258,2008-04-15
LEXUS,RC 350 AWD,SUBCOMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258,2000-10-12
LEXUS,RC F,SUBCOMPACT,5.0,8,AS8,Z,15.2,9.5,12.6,22,289,2009-04-19
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS8,X,12.2,9.0,10.8,26,252,2005-05-17
LEXUS,RX 450h AWD,SUV - STANDARD,3.5,6,AV6,Z,7.5,8.4,7.9,36,185,2002-06-08
LINCOLN,CONTINENTAL AWD,FULL-SIZE,2.7,6,AS6,X,14.0,9.5,12.0,24,281,2001-11-09
LINCOLN,CONTINENTAL AWD,FULL-SIZE,3.0,6,AS6,X,14.4,9.7,12.3,23,288,2008-02-07
LINCOLN,CONTINENTAL AWD,FULL-SIZE,3.7,6,AS6,X,14.3,9.7,12.2,23,287,2011-09-27
LINCOLN,MKC AWD,SUV - SMALL,2.0,4,AS6,X,12.3,9.3,10.9,26,256,2019-07-11
LINCOLN,MKC AWD (Start/Stop),SUV - SMALL,2.0,4,AS6,X,12.1,9.3,10.8,26,254,2004-03-22
LINCOLN,MKC AWD,SUV - SMALL,2.3,4,AS6,X,13.1,9.4,11.4,25,268,2003-08-06
LINCOLN,MKT AWD,SUV - STANDARD,3.5,6,AS6,X,15.7,11.2,13.7,21,321,2016-01-31
LINCOLN,MKT LIVERY AWD,SPECIAL PURPOSE VEHICLE,3.7,6,A6,X,14.7,10.2,12.7,22,298,2002-05-15
LINCOLN,MKX AWD,SUV - SMALL,2.7,6,AS6,X,14.1,9.8,12.1,23,284,2014-03-28
LINCOLN,MKX AWD,SUV - SMALL,3.7,6,AS6,X,14.4,10.3,12.5,23,293,2000-10-09
LINCOLN,MKZ,MID-SIZE,2.0,4,AS6,X,11.2,7.6,9.8,29,230,2010-08-15
LINCOLN,MKZ,MID-SIZE,3.0,6,AS6,X,13.4,8.7,11.2,25,264,2002-02-16
LINCOLN,MKZ AWD,MID-SIZE,2.0,4,AS6,X,11.8,8.4,10.2,28,239,2020-09-28
LINCOLN,MKZ AWD,MID-SIZE,3.0,6,AS6,X,14.0,9.2,11.8,24,278,2015-09-30
LINCOLN,MKZ HYBRID,MID-SIZE,2.0,4,AV,X,5.7,6.2,5.9,48,139,2002-12-13
LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6,AS6,X,15.9,12.0,14.2,20,333,2005-10-30
LINCOLN,NAVIGATOR L 4X4,SUV - STANDARD,3.5,6,AS6,X,16.1,12.4,14.5,19,339,2015-03-24
MASERATI,GHIBLI,MID-SIZE,3.0,6,AS8,Z,14.1,9.8,12.4,23,286,2014-01-28
MASERATI,GHIBLI S,MID-SIZE,3.0,6,AS8,Z,14.7,10.0,12.4,23,293,2008-06-30
MASERATI,GHIBLI SQ4,MID-SIZE,3.0,6,AS8,Z,14.7,9.9,12.6,22,295,2016-06-13
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1,19,355,2006-11-24
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.6,15.2,19,358,2020-01-21
MASERATI,LEVANTE,SUV - STANDARD,3.0,6,AS8,Z,16.8,11.9,14.7,19,340,2006-01-12
MASERATI,LEVANTE S,SUV - STANDARD,3.0,6,AS8,Z,16.8,12.4,14.7,19,346,2002-10-10
MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8,AS8,Z,16.1,10.8,13.8,20,321,2017-05-08
MASERATI,QUATTROPORTE S,FULL-SIZE,3.0,6,AS8,Z,14.9,10.3,13.1,22,300,2000-10-24
MASERATI,QUATTROPORTE SQ4,FULL-SIZE,3.0,6,AS8,Z,15.0,10.3,13.1,22,301,2005-08-18
MAZDA,CX-3,COMPACT,2.0,4,AS6,X,8.2,6.9,7.6,37,179,2020-10-09
MAZDA,CX-3 4WD,COMPACT,2.0,4,AS6,X,8.8,7.5,8.2,34,192,2015-06-05
MAZDA,CX-5,SUV - SMALL,2.0,4,M6,X,9.4,7.4,8.5,33,199,2015-09-01
MAZDA,CX-5,SUV - SMALL,2.5,4,AS6,X,9.8,7.7,8.6,33,204,2009-07-27
MAZDA,CX-5 4WD,SUV - SMALL,2.5,4,AS6,X,10.2,8.3,9.2,31,221,2006-07-02
MAZDA,CX-9,SUV - SMALL,2.5,4,AS6,X,10.6,8.4,9.6,29,225,2019-08-31
MAZDA,CX-9 4WD,SUV - SMALL,2.5,4,AS6,X,11.5,8.9,10.4,27,242,2014-01-29
MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,AS6,X,8.4,6.4,7.5,38,176,2000-03-03
MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,M6,X,8.5,6.2,7.5,38,175,2007-09-04
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.0,4,M6,X,8.5,6.2,7.5,38,175,2001-07-16
MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4,AS6,X,8.8,6.6,7.8,36,182,2003-11-24
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.5,6.4,7.6,37,176,2018-12-05
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4,M6,X,9.3,6.9,8.2,34,194,2007-03-22
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.0,4,AS6,X,8.4,6.4,7.5,38,174,2014-09-17
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.0,4,M6,X,8.6,6.4,7.6,37,178,2016-11-06
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,4,AS6,X,9.0,6.7,7.8,36,183,2008-09-11
MAZDA,MAZDA3 5-DOOR (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.7,6.6,7.8,36,181,2001-03-03
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.5,4,M6,X,9.6,7.0,8.4,34,198,2010-07-05
MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,10.8,8.2,9.6,29,226,2006-04-23
MAZDA,MAZDA5,MINIVAN,2.5,4,M6,X,11.1,8.3,9.8,29,230,2008-04-27
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,9.1,6.7,8.0,35,187,2021-01-06
MAZDA,MAZDA6 (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.9,6.7,7.9,36,186,2004-07-01
MAZDA,MAZDA6 (SIL),MID-SIZE,2.5,4,M6,X,9.8,6.9,8.4,34,196,2018-06-23
MAZDA,MX-5,TWO-SEATER,2.0,4,AS6,Z,9.0,6.7,8.0,35,187,2014-11-24
MAZDA,MX-5 (SIL),TWO-SEATER,2.0,4,M6,Z,8.9,7.1,8.1,35,190,2012-03-26
MERCEDES-BENZ,AMG C 63,COMPACT,4.0,8,AS7,Z,13.4,9.6,11.7,24,273,2002-04-06
MERCEDES-BENZ,AMG C 63 CABRIOLET,SUBCOMPACT,4.0,8,AS7,Z,14.0,10.1,12.2,23,291,2012-12-26
MERCEDES-BENZ,AMG C 63 COUPE,SUBCOMPACT,4.0,8,AS7,Z,13.8,10.1,12.1,23,285,2002-07-22
MERCEDES-BENZ,AMG C 63 S,COMPACT,4.0,8,AS7,Z,13.4,9.6,11.7,24,273,2016-03-04
MERCEDES-BENZ,AMG C 63 S CABRIOLET,SUBCOMPACT,4.0,8,AS7,Z,14.0,10.1,12.2,23,291,2001-06-23
MERCEDES-BENZ,AMG C 63 S COUPE,SUBCOMPACT,4.0,8,AS7,Z,13.8,10.1,12.1,23,285,2019-01-18
MERCEDES-BENZ,AMG CLA 45,COMPACT,2.0,4,AS7,Z,10.7,7.6,9.3,30,221,2013-12-16
MERCEDES-BENZ,AMG CLS 63 S 4MATIC,COMPACT,5.5,8,AS7,Z,15.1,10.8,13.1,22,308,2004-01-23
MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8,AS7,Z,20.0,16.6,18.5,15,413,2013-01-25
MERCEDES-BENZ,AMG G 65,SUV - STANDARD,6.0,12,AS7,Z,22.2,18.0,20.3,14,467,2005-01-14
MERCEDES-BENZ,AMG GLA 45 4MATIC,SUV - SMALL,2.0,4,AS7,Z,11.3,8.5,10.0,28,233,2012-02-29
MERCEDES-BENZ,AMG GLC 43 4MATIC COUPE,SUV - SMALL,3.0,6,A9,Z,17.4,11.1,14.6,19,353,2006-08-13
MERCEDES-BENZ,AMG GLE 43 4MATIC,SUV - STANDARD,3.0,6,A9,Z,13.6,10.1,12.0,24,281,2021-12-21
MERCEDES-BENZ,AMG GLE 43 4MATIC COUPE,SUV - STANDARD,3.0,6,A9,Z,13.6,10.2,12.0,24,281,2003-09-05
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,5.5,8,AS7,Z,17.3,13.5,15.6,18,363,2017-09-16
MERCEDES-BENZ,AMG GLE 63 S 4MATIC COUPE,SUV - STANDARD,5.5,8,AS7,Z,17.2,12.8,15.2,19,363,2000-11-05
MERCEDES-BENZ,AMG GLS 63,SUV - STANDARD,5.5,8,AS7,Z,18.2,14.0,16.3,17,369,2016-08-03
MERCEDES-BENZ,AMG GT COUPE,TWO-SEATER,4.0,8,AS7,Z,14.5,10.8,12.8,22,303,2009-06-30
MERCEDES-BENZ,AMG GT S COUPE,TWO-SEATER,4.0,8,AS7,Z,14.5,10.8,12.8,22,303,2018-06-18
MERCEDES-BENZ,AMG S 63 4MATIC,FULL-SIZE,5.5,8,AS7,Z,15.7,10.1,13.2,21,313,2019-05-12
MERCEDES-BENZ,AMG S 63 CABRIOLET,COMPACT,5.5,8,AS7,Z,16.4,10.6,13.8,20,322,2001-11-18
MERCEDES-BENZ,AMG S 63 COUPE,COMPACT,5.5,8,AS7,Z,15.3,10.2,13.0,22,305,2015-01-22
MERCEDES-BENZ,AMG S 65,FULL-SIZE,6.0,12,AS7,Z,17.6,10.9,14.6,19,349,2014-01-21
MERCEDES-BENZ,AMG S 65 CABRIOLET,COMPACT,6.0,12,AS7,Z,17.1,11.0,14.3,20,348,2020-01-29
MERCEDES-BENZ,AMG S 65 COUPE,COMPACT,6.0,12,AS7,Z,18.7,11.6,15.5,18,365,2015-06-18
MERCEDES-BENZ,AMG SL 63,TWO-SEATER,5.5,8,AS7,Z,14.7,9.5,12.4,23,298,2018-07-27
MERCEDES-BENZ,AMG SL 65,TWO-SEATER,6.0,12,AS7,Z,17.6,10.8,14.5,19,340,2013-06-23
MERCEDES-BENZ,AMG SLC 43,TWO-SEATER,3.0,6,A9,Z,11.6,8.2,10.1,28,234,2000-08-31
MERCEDES-BENZ,B 250,MID-SIZE,2.0,4,AS7,Z,9.7,6.6,8.3,34,179,2006-04-16
MERCEDES-BENZ,C 300 4MATIC,COMPACT,2.0,4,AS7,Z,10.1,7.8,9.0,31,212,2018-03-31
MERCEDES-BENZ,C 300 4MATIC CABRIOLET,SUBCOMPACT,2.0,4,A9,Z,10.8,8.0,9.5,30,222,2011-02-04
MERCEDES-BENZ,C 300 4MATIC COUPE,SUBCOMPACT,2.0,4,AS7,Z,10.4,8.0,9.3,30,218,2002-01-08
MERCEDES-BENZ,CLA 250,COMPACT,2.0,4,AS7,Z,9.6,6.4,8.1,35,190,2019-12-21
MERCEDES-BENZ,CLS 550 4MATIC,COMPACT,4.7,8,A9,Z,13.6,9.4,11.7,24,275,2013-10-19
MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,2.0,4,A9,Z,10.8,8.1,9.5,30,246,2004-01-11
MERCEDES-BENZ,E 400 4MATIC,MID-SIZE,3.0,6,A9,Z,11.8,8.6,10.4,27,245,2008-08-02
MERCEDES-BENZ,E 400 4MATIC WAGON,STATION WAGON - MID-SIZE,3.0,6,A9,Z,12.4,9.3,11.0,26,259,2012-07-19
MERCEDES-BENZ,E 400 CABRIOLET,SUBCOMPACT,3.0,6,AS7,Z,11.5,8.1,10.0,28,233,2004-07-08
MERCEDES-BENZ,E 400 COUPE,SUBCOMPACT,3.0,6,AS7,Z,11.8,8.4,10.2,28,239,2018-10-23
MERCEDES-BENZ,E 550 CABRIOLET,SUBCOMPACT,4.7,8,AS7,Z,13.7,9.2,11.7,24,275,2002-02-17
MERCEDES-BENZ,E 550 COUPE,SUBCOMPACT,4.7,8,AS7,Z,13.4,8.9,11.4,25,268,2002-04-13
MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8,AS7,Z,19.0,16.6,17.9,16,401,2019-12-17
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4,AS7,Z,10.3,7.6,9.1,31,212,2016-09-05
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4,AS7,E,13.6,10.0,12.0,24,128,2008-02-02
MERCEDES-BENZ,GLC 300 4MATIC,SUV - SMALL,2.0,4,A9,Z,11.1,8.5,10.0,28,233,2001-04-16
MERCEDES-BENZ,GLE 400 4MATIC,SUV - STANDARD,3.0,6,A9,Z,13.1,10.1,11.7,24,276,2018-09-07
MERCEDES-BENZ,GLE 550 4MATIC,SUV - STANDARD,4.7,8,A9,Z,15.3,11.3,13.5,21,318,2014-05-18
MERCEDES-BENZ,GLS 450 4MATIC,SUV - STANDARD,3.0,6,A9,Z,14.4,11.4,13.0,22,306,2015-05-14
MERCEDES-BENZ,GLS 550 4MATIC,SUV - STANDARD,4.7,8,A9,Z,16.7,12.9,15.0,19,347,2010-08-20
MERCEDES-BENZ,MAYBACH S 600,FULL-SIZE,6.0,12,AS7,Z,18.2,11.0,15.0,19,359,2007-06-13
MERCEDES-BENZ,METRIS CARGO,SPECIAL PURPOSE VEHICLE,2.0,4,AS7,Z,11.1,9.1,10.2,28,240,2017-05-30
MERCEDES-BENZ,METRIS PASSENGER,SPECIAL PURPOSE VEHICLE,2.0,4,AS7,Z,11.5,9.3,10.5,27,248,2001-08-26
MERCEDES-BENZ,S 400 4MATIC SWB,MID-SIZE,3.0,6,AS7,Z,12.6,8.6,10.8,26,253,2019-02-23
MERCEDES-BENZ,S 550 4MATIC SWB,MID-SIZE,4.7,8,A9,Z,14.3,9.2,12.0,24,280,2003-06-22
MERCEDES-BENZ,S 550 4MATIC LWB,FULL-SIZE,4.7,8,A9,Z,14.3,9.2,12.0,24,280,2013-10-10
MERCEDES-BENZ,S 550 4MATIC CABRIOLET,COMPACT,4.7,8,A9,Z,13.9,9.3,11.8,24,276,2017-01-27
MERCEDES-BENZ,S 550 4MATIC COUPE,COMPACT,4.7,8,A9,Z,14.1,9.3,11.9,24,278,2020-11-05
MERCEDES-BENZ,S 600,FULL-SIZE,6.0,12,AS7,Z,17.5,10.8,14.5,19,350,2016-10-09
MERCEDES-BENZ,SL 450,TWO-SEATER,3.0,6,A9,Z,11.5,8.4,10.1,28,237,2006-03-07
MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,A9,Z,13.6,9.5,11.7,24,275,2021-04-18
MERCEDES-BENZ,SLC 300,TWO-SEATER,2.0,4,A9,Z,9.5,7.2,8.5,33,200,2010-11-16
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.8,6.8,7.9,36,184,2016-03-20
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.5,6.2,7.5,38,175,2011-11-21
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.8,6.8,7.9,36,184,2020-01-11
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.5,6.3,7.5,38,175,2001-06-11
MINI,COOPER CLUBMAN,MID-SIZE,1.5,3,AS6,Z,9.5,7.2,8.4,34,197,2018-04-26
MINI,COOPER CLUBMAN,MID-SIZE,1.5,3,M6,Z,9.6,7.0,8.4,34,197,2001-12-20
MINI,COOPER CLUBMAN ALL4,MID-SIZE,1.5,3,AS8,Z,10.2,7.8,9.1,31,213,2014-12-16
MINI,COOPER CLUBMAN ALL4,MID-SIZE,1.5,3,M6,Z,10.6,7.4,9.1,31,214,2001-04-16
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3,AS6,Z,8.8,6.8,7.9,36,184,2020-05-01
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3,M6,Z,8.5,6.3,7.5,38,175,2001-07-13
MINI,COOPER COUNTRYMAN,MID-SIZE,1.5,3,AS6,Z,9.5,7.2,8.4,34,197,2006-05-15
